year,A,B,C,D,E,F
1973,0,95792628,200776443,0,95792628,0
1974,15256725,42563758,153995109,124861445,42563758,5135311
1975,15829434,60080677,141256857,0,60080677,11841107
1976,0,65859994,180729570,258500419,65859994,46994
1977,704628,0,352523660,348718518,0,20846552
1978,0,0,106052778,105991262,0,0
1979,73420234,57275683,308650682,0,57275683,33750525
1980,3088274857,21776984,816335780,110811408,21776984,259987614
1981,4768108479,230395196,634174424,240636248,230395196,713107244
1982,514466891,302371098,1370602905,484434111,302371098,1117571002
1983,218134010,441780960,334406639,25073823,441780960,513432426
1984,976488278,475235242,1088866239,479805457,475235242,632576576
1985,287676519,134596484,940204559,53703140,134596484,605384859
1986,695113150,34843304,625537865,164769263,34843304,737079395
1987,1012887955,85117635,380313458,107755657,85117635,679626885
1988,96497158,107365899,906410888,0,107365899,354874165
1989,98465542,73959565,388659858,910336207,73959565,431006385
1990,254913681,938279048,887708073,7572945,938279048,21516183
1991,310459678,185736779,1289413570,66239728,185736779,489983384
1992,1771359012,90394219,1885616356,44999636,90394219,406513708
1993,2121584979,341385289,1689134694,90780001,341385289,36729398
1994,4211207268,167636496,1595567680,195628395,167636496,28010396
1995,497807763,172767802,679756647,518374380,172767802,255739191
1996,742750235,391229602,829747151,120338108,391229602,293652853
1997,1605192456,694798740,766376994,470215385,694798740,303809928
1998,634116769,657668408,308069616,12774435,657668408,87206
1999,5896935547,800042829,40875883,158385618,800042829,83138567
2000,3089373356,535115398,141462184,5131051,535115398,134802462
2001,2461432288,78742572,494144961,204411855,78742572,2279474
2002,3409273587,317903789,29064744,47637502,317903789,18213538
2003,1605190,386716108,32437533,16126597,386716108,6453025
2004,513119049,678991354,7331241,458289920,678991354,1054547
2005,410669869,223491419,6703637,182849973,223491419,11289609
2006,278918,697248639,9213317,223553347,697248639,1474041
2007,777396,161756943,2652404,15479641,161756943,1498063
2008,947246,1945744781,5278467,181083150,1945744781,1137705
2009,2206650,1726078347,7334558,242645248,1726078347,552446
2010,1015388,2769998813,78456408,178425707,2769998813,0
2011,4105579,436777967,15188216,1036425472,436777967,1217712
2012,4397101,1619976788,2569208,389711520,1619976788,545570
2013,5627464,2251372351,4937413,336238470,2251372351,2839501
