Slider,x,first,second
2007,Hungary,2747.0,21733.0
2007,Thailand,4469.0,246621101.0
2005,Cyprus,5599.0,
2008,Colombia,6798.0,1190054198.0
2008,Chile,10280.0,275383474.0
1989,Liechtenstein,11161.0,
2010,Slovak Republic,14132.0,
2009,Slovak Republic,14202.0,
2013,Slovenia,14308.0,
2010,Thailand,20992.0,560953853.0
2003,Chile,32051.0,74584206.0
2004,Chile,37923.0,86004680.0
2012,Iceland,39083.0,
2009,Chile,40764.0,136810686.0
2013,Slovak Republic,41147.0,
2005,Chile,49967.0,73415885.0
2007,Brazil,50889.0,424596650.0
2007,Chile,56833.0,114940960.0
1983,Liechtenstein,63282.0,
2008,Hungary,67660.0,
1987,Austria,77374.0,
2007,Colombia,77466.0,800292991.0
1994,Liechtenstein,86232.0,
2010,Chile,89609.0,120087929.0
2002,Estonia,94211.0,8104097.0
1998,Liechtenstein,98845.0,
1998,Portugal,100751.0,
1997,Liechtenstein,104054.0,
2010,Colombia,106531.0,1128442346.0
2002,Chile,117867.0,118858994.0
2006,Monaco,119315.0,
2005,Czech Republic,119901.0,46801.0
2006,Liechtenstein,121077.0,
2013,Czech Republic,123152.0,
1993,Liechtenstein,124845.0,
2006,Chile,129055.0,53907751.0
2013,Iceland,133418.0,
2010,Slovenia,135720.0,
2008,Liechtenstein,138191.0,66713.0
1996,Liechtenstein,141858.0,
2002,Liechtenstein,147592.0,10053.0
2002,Czech Republic,156771.0,60471458.0
2011,Czech Republic,164099.0,
2012,Czech Republic,165238.0,
2008,Brazil,168870.0,575890217.0
2001,Estonia,184731.0,24044423.0
2007,Liechtenstein,199170.0,
1981,Liechtenstein,199326.0,18264370.0
2004,Liechtenstein,216815.0,
1983,New Zealand,216892.0,
2013,Greece,222131.0,
2008,Czech Republic,230219.0,
2003,Czech Republic,247942.0,45608312.0
2005,Hungary,254145.0,
2007,Monaco,264319.0,
2001,Liechtenstein,264468.0,
1982,Austria,272169.0,58590672.0
2011,Taiwan,282125.0,
2010,Taiwan,287807.0,
1990,Liechtenstein,299897.0,
2005,Slovak Republic,326093.0,
2009,Taiwan,327156.0,14202.0
1996,Portugal,331133.0,
1997,Portugal,344667.0,
2008,Taiwan,348667.0,
2007,Taiwan,375139.0,
2000,Liechtenstein,380208.0,
2009,Czech Republic,397563.0,
1988,Austria,400964.0,
2013,Poland,403184.0,
1988,Finland,447649.0,
2005,Liechtenstein,494415.0,51947.0
1994,Austria,496076.0,
2001,Czech Republic,530941.0,65382378.0
2003,Liechtenstein,544967.0,
2008,Monaco,557753.0,
1982,New Zealand,572352.0,213884594.0
2011,United Arab Emirates,590706.0,
1982,Liechtenstein,734297.0,
1981,New Zealand,752775.0,
2003,Luxembourg,830472.0,
2004,Greece,875060.0,
2010,Brazil,914681.0,1059210583.0
2006,Czech Republic,918070.0,
2012,United Arab Emirates,1025431.0,
2003,Portugal,1051124.0,
1998,Kuwait,1107033.0,733164.0
2010,United Arab Emirates,1109303.0,
1997,Czech Republic,1151600.0,99553819.0
2001,Kuwait,1219994.0,4044688.0
2012,Greece,1220624.0,
1985,United Kingdom,1255318.0,
1987,Finland,1482877.0,
1995,New Zealand,1551034.0,
