Slider,x,first,second
1973,Switzerland,14060941,0
1973,Norway,35874848,0
1973,Belgium,39251336,0
1973,Australia,46285863,0
1973,Netherlands,162750945,0
1973,Italy,166719069,0
1973,Sweden,168369255,0
1973,France,247189555,0
1973,Canada,437928427,0
1973,United Kingdom,442579189,0
1973,Germany,562232384,0
1973,Japan,938965880,0
1973,United States,1553264205,0
1973,United Arab Emirates,0,65097
1973,Saudi Arabia,0,65097
1973,Kuwait,0,325483
1973,Cyprus,0,9613414
1973,Chile,0,88056078
1973,Thailand,0,206363405
1973,Brazil,0,312075045
1973,Colombia,0,549944785
1973,Korea,0,1363706959
1973,India,0,2285256534
1974,Austria,24126329,0
1974,Australia,26950877,0
1974,Sweden,30299330,0
1974,Belgium,43588598,0
1974,Denmark,56839286,0
1974,Switzerland,64549529,0
1974,Canada,68502158,0
1974,Norway,94887523,0
1974,Netherlands,323468392,0
1974,France,367384662,0
1974,Germany,698168091,0
1974,United States,871092243,0
1974,United Kingdom,1405378815,0
1974,Japan,2730202327,0
1974,Taiwan,0,115048
1974,Cyprus,0,16432279
1974,Colombia,0,203545814
1974,Chile,0,257689227
1974,Brazil,0,306601048
1974,Thailand,0,867668418
1974,Korea,0,1455639048
1974,India,0,3697747278
1975,Denmark,10392556,0
1975,Belgium,38863307,0
1975,Norway,64575343,0
1975,Australia,77691781,0
1975,Canada,93027681,0
1975,Switzerland,103204755,0
1975,Netherlands,130708382,0
1975,France,192416969,0
1975,Sweden,201059589,0
1975,United Kingdom,222187891,0
1975,Germany,833859928,0
1975,United States,944272511,0
1975,Japan,1339039677,0
1975,Cyprus,0,5864941
1975,Brazil,0,100725686
1975,Colombia,0,145779156
1975,Korea,0,299226023
1975,Thailand,0,333639956
1975,Chile,0,365408442
1975,India,0,3000656166
1976,Norway,10419282,0
1976,Austria,12981849,0
1976,Australia,27718070,0
1976,Denmark,28849377,0
1976,Italy,35601469,0
1976,Belgium,36126619,0
1976,Switzerland,43577287,0
1976,United Kingdom,51613566,0
1976,United Arab Emirates,64911546,0
1976,Canada,116287322,0
1976,Sweden,151806434,0
1976,France,183658423,0
1976,Kuwait,206494798,0
1976,Netherlands,426349160,0
1976,Germany,639963734,0
1976,Japan,762168614,0
1976,United States,897290248,0
1976,Cyprus,0,31022257
1976,Brazil,0,83580485
1976,Thailand,0,110042103
1976,Colombia,0,143082677
1976,Chile,0,155551297
1976,Korea,0,938952566
1976,India,0,2233586413
1977,Belgium,35853879,0
1977,Canada,38957778,0
1977,Norway,60133610,0
1977,Australia,72648152,0
1977,Kuwait,86642765,0
1977,Switzerland,111194695,0
1977,Denmark,112241594,0
1977,Sweden,143468255,0
1977,France,168900067,0
1977,United States,246198361,0
1977,Netherlands,352515092,0
1977,Saudi Arabia,540365522,0
1977,Germany,617148856,0
1977,United Kingdom,860011341,0
1977,Japan,1479116934,0
1977,Taiwan,0,163198
1977,Chile,0,2568149
1977,United Arab Emirates,0,3599299
1977,Cyprus,0,20945184
1977,Colombia,0,67799905
1977,Korea,0,418471898
1977,Brazil,0,501438883
1977,Thailand,0,715883953
1977,India,0,3197135157
1978,Denmark,2086036,0
1978,Austria,27058314,0
1978,Belgium,32189217,0
1978,Switzerland,35883359,0
1978,Australia,47483698,0
1978,France,97437457,0
1978,Canada,100516271,0
1978,Kuwait,103885863,0
1978,Norway,147255461,0
1978,Netherlands,231844808,0
1978,Saudi Arabia,251262679,622892
1978,Germany,410412482,0
1978,United States,438452911,0
1978,Sweden,472112462,0
1978,United Kingdom,971709388,0
1978,Japan,1429326640,0
1978,Cyprus,0,46647
1978,Chile,0,4418418
1978,Colombia,0,54438681
1978,Brazil,0,151531351
1978,Korea,0,801254989
1978,Thailand,0,859278853
1978,India,0,2927325215
1979,Austria,2480539,0
1979,United Kingdom,5012313,0
1979,Australia,9763598,0
1979,France,25058027,0
1979,Belgium,30801519,0
1979,Denmark,35943903,0
1979,Kuwait,59307807,0
1979,Switzerland,67821487,0
1979,Canada,80241209,0
1979,Netherlands,82256186,0
1979,Norway,140327273,0
1979,Sweden,253701905,0
1979,United States,717779582,0
1979,Germany,787807347,0
1979,Japan,0,0
1979,Saudi Arabia,0,12014220
1979,Colombia,0,15388003
1979,Cyprus,0,15837039
1979,Chile,0,49451759
1979,Korea,0,146708076
1979,Brazil,0,167462062
1979,Thailand,0,1283439829
1979,India,0,1622748901
1980,Switzerland,10028652,0
1980,Sweden,10679246,35282669
1980,Kuwait,23153412,0
1980,Australia,23283790,54502260
1980,Norway,41738095,43725131
1980,Denmark,96585940,104288895
1980,Saudi Arabia,112421249,120375527
1980,Canada,139264006,531674896
1980,Netherlands,352628199,0
1980,France,360323267,116609845
1980,United Kingdom,567311470,399202551
1980,Germany,654031054,0
1980,Japan,1826375443,264768921
1980,United States,6864224034,0
1980,United Arab Emirates,0,174742
1980,Portugal,0,4136160
1980,New Zealand,0,11703716
1980,Chile,0,17218386
1980,Iceland,0,18060045
1980,Ireland,0,30268231
1980,Romania,0,44381441
1980,Poland,0,75000451
1980,Cyprus,0,87110643
1980,Greece,0,115371982
1980,Belgium,0,147868500
1980,Colombia,0,257368296
1980,Spain,0,285026867
1980,Taiwan,0,374058844
1980,Brazil,0,397591374
1980,Italy,0,894504816
1980,Thailand,0,902852253
1980,Korea,0,2625763424
1980,India,0,2968245303
