Slider,x,first,second
0,1,55,20
0,2,65,15
0,3,80,10
0,4,88,7
0,5,93,5
0,7,93,5
0,8,93,5
0,9,93,5
0,10,93,5
0,11,93,5
0,12,93,5
0,13,93,5
0,15,93,5
0,16,93,5
0,17,93,5
0,18,93,5
0,19,93,5
0,20,93,5
0,21,93,5
0,22,93,5
0,23,93,5
0,24,93,5
0,25,93,5
0,26,93,5
0,27,93,5
0,28,93,5
0,29,93,5
0,30,93,5
0,31,93,5
0,32,93,5
0,33,93,5
0,34,93,5
0,35,93,5
0,36,93,5
0,37,93,5
0,38,93,5
0,39,93,5
0,40,93,5




75,1,25,30
75,2,38,37
75,3,39,38
75,4,39,39
75,5,40,40
75,6,40,40
75,7,40,40
75,8,40,40
75,9,40,40
75,10,40,40
75,11,40,40
75,13,40,40
75,12,40,40
75,14,40,40
75,15,40,40
75,16,56,40
75,17,40,40
75,18,40,40
75,19,40,40
75,20,4,40
75,21,40,40
75,22,40,78
75,23,40,40
75,24,40,40
75,25,40,34
75,26,40,40
75,27,40,40
75,28,4,40
75,29,40,40
75,30,40,0
75,31,40,40
75,32,40,67
75,33,40,40
75,34,22,22
75,35,20,40
75,36,47,40
75,37,50,49
75,38,90,0
75,39,4,4
75,40,48,41



